,10,11,12,13,21,22,23,31,32
0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
3600,1.0,0.44378284,0.43776533,0.42857724,0.41320685,0.4279786,0.44152376,0.40529975,0.3862551
7200,1.0,0.8655058,0.7867901,0.36589098,0.39219955,0.36815766,0.3902172,0.32624862,0.29790297
10800,1.0,0.86379033,0.78470343,0.3091121,0.74315727,0.3196216,0.33960533,0.2802266,0.24446146
14400,1.0,0.86219466,0.78409886,0.46833485,0.74147713,0.49658754,0.2967112,0.5493476,0.21043275
18000,1.0,0.8612051,0.7837798,0.5706489,0.7485457,0.60108,0.2452009,0.5592736,0.17886716
21600,1.0,0.8603387,0.7834717,0.58162445,0.74732053,0.60363805,0.210812,0.56437194,0.3102824
25200,1.0,0.8600872,0.7814888,0.60146755,0.75186235,0.62651783,0.24950409,0.5780244,0.3734954
28800,1.0,0.8599548,0.7813187,0.6029609,0.75177526,0.62463087,0.3455663,0.5827326,0.39169124
32400,1.0,0.85913545,0.7830273,0.5899979,0.74644005,0.59273624,0.37358958,0.57062876,0.37987795
36000,1.0,0.85821265,0.78261924,0.58550614,0.74576867,0.5946669,0.37770206,0.56341547,0.36574203
39600,1.0,0.85667926,0.7817337,0.5731709,0.740861,0.57426715,0.3764986,0.55037385,0.3463005
43200,1.0,0.85503966,0.7797084,0.5547981,0.7404246,0.5679081,0.3623648,0.54112536,0.3289725
46800,0.98259944,0.7976956,0.73532325,0.54918903,0.7011056,0.6061087,0.33064994,0.52438533,0.32340166
50400,0.9621628,0.66936564,0.7201342,0.55355924,0.6293414,0.61000323,0.32238126,0.5068173,0.30187
54000,0.9421512,0.56289077,0.70474935,0.5206706,0.5393854,0.5793395,0.31636727,0.4595153,0.31167233
57600,0.92255586,0.54802245,0.69020647,0.4960113,0.45420828,0.5624283,0.31139672,0.40928233,0.30862036
61200,0.903368,0.5178875,0.6751983,0.47076538,0.38868567,0.534556,0.29593754,0.36308104,0.27263606
64800,0.88457924,0.4986954,0.6612652,0.4488894,0.3437058,0.51648664,0.28120327,0.3001059,0.25548556
68400,0.86618125,0.47422156,0.6463594,0.42103046,0.31414035,0.48695365,0.26268995,0.26384088,0.2257445
72000,0.8481659,0.4504448,0.63302064,0.3940465,0.2955069,0.4639402,0.24565999,0.2227092,0.20754795
75600,0.83052534,0.44114068,0.6211674,0.38577616,0.29155627,0.45833257,0.23008566,0.18988067,0.19849515
79200,0.8132517,0.43256855,0.6083493,0.38184568,0.28695422,0.46772695,0.2201306,0.1745414,0.18995403
82800,1.0,0.69833773,0.4989782,0.39695963,0.32527816,0.39436123,0.22702272,0.18202838,0.16568191
86400,1.0,0.8681395,0.6428228,0.38518873,0.59376407,0.26391056,0.2509911,0.19057794,0.15337932
